orderNum;_id;date;clientId;percent
1;67f5f3bcee9adafd04527d2a;2024-03-10T00:00:00.000Z;67f56eca575fff8fe23c7a0e;15
2;67f5f3bcee9adafd04527d2b;2024-03-10T00:00:00.000Z;67f56eca575fff8fe23c7a50;10
3;67f5f3bcee9adafd04527d2c;2024-03-10T00:00:00.000Z;67f56eca575fff8fe23c7a0f;15
4;67f5f3bcee9adafd04527d2d;2024-03-10T00:00:00.000Z;67f56eca575fff8fe23c7a2f;15
5;67f5f3bcee9adafd04527d2e;2024-03-14T00:00:00.000Z;67f56eca575fff8fe23c7a0d;15
6;67f5f3bcee9adafd04527d2f;2024-03-14T00:00:00.000Z;67f56eca575fff8fe23c7a1d;15
7;67f5f3bcee9adafd04527d30;2024-03-16T00:00:00.000Z;67f56eca575fff8fe23c7a51;15
8;67f5f3bcee9adafd04527d31;2024-03-16T00:00:00.000Z;67f56eca575fff8fe23c7a19;15
9;67f5f3bcee9adafd04527d32;2024-03-16T00:00:00.000Z;67f56eca575fff8fe23c7a0e;15
10;67f5f3bcee9adafd04527d33;2024-03-17T00:00:00.000Z;67f56eca575fff8fe23c7a51;15
11;67f5f3bcee9adafd04527d34;2024-03-17T00:00:00.000Z;67f56eca575fff8fe23c7a38;15
12;67f5f3bcee9adafd04527d35;2024-03-17T00:00:00.000Z;67f56eca575fff8fe23c7a32;15
13;67f5f3bcee9adafd04527d36;2024-03-18T00:00:00.000Z;67f56eca575fff8fe23c7a0f;10
14;67f5f3bcee9adafd04527d37;2024-03-18T00:00:00.000Z;67f56eca575fff8fe23c7a52;15
15;67f5f3bcee9adafd04527d38;2024-03-19T00:00:00.000Z;67f56eca575fff8fe23c7a53;15
16;67f5f3bcee9adafd04527d39;2024-03-20T00:00:00.000Z;67f56eca575fff8fe23c7a50;10
17;67f5f3bcee9adafd04527d3a;2024-05-22T00:00:00.000Z;67f56eca575fff8fe23c7a2f;15
18;67f5f3bcee9adafd04527d3b;2024-03-23T00:00:00.000Z;67f56eca575fff8fe23c7a16;15
19;67f5f3bcee9adafd04527d3c;2024-03-23T00:00:00.000Z;67f56eca575fff8fe23c7a1b;15
20;67f5f3bcee9adafd04527d3d;2024-05-24T00:00:00.000Z;67f56eca575fff8fe23c7a15;15
21;67f5f3bcee9adafd04527d3e;2024-03-24T00:00:00.000Z;67f56eca575fff8fe23c7a54;15
22;67f5f3bcee9adafd04527d3f;2024-03-25T00:00:00.000Z;67f56eca575fff8fe23c7a2e;15
23;67f5f3bcee9adafd04527d40;2024-03-25T00:00:00.000Z;67f56eca575fff8fe23c7a30;15
24;67f5f3bcee9adafd04527d41;2024-03-25T00:00:00.000Z;67f56eca575fff8fe23c7a0e;15
25;67f5f3bcee9adafd04527d42;2024-03-25T00:00:00.000Z;67f56eca575fff8fe23c7a59;15
26;67f5f3bcee9adafd04527d43;2024-03-23T00:00:00.000Z;67f56eca575fff8fe23c7a12;15
27;67f5f3bcee9adafd04527d44;2024-03-23T00:00:00.000Z;67f56eca575fff8fe23c7a4a;10
28;67f5f3bcee9adafd04527d45;2024-03-25T00:00:00.000Z;67f56eca575fff8fe23c7a55;15
29;67f5f3bcee9adafd04527d46;2024-03-26T00:00:00.000Z;67f56eca575fff8fe23c7a1b;15
30;67f5f3bcee9adafd04527d47;2024-03-25T00:00:00.000Z;67f56eca575fff8fe23c7a56;15
31;67f5f3bcee9adafd04527d48;2024-03-27T00:00:00.000Z;67f56eca575fff8fe23c7a2e;15
32;67f5f3bcee9adafd04527d49;2024-03-28T00:00:00.000Z;67f56eca575fff8fe23c7a58;15
33;67f5f3bcee9adafd04527d4a;2024-03-28T00:00:00.000Z;67f56eca575fff8fe23c7a50;10
34;67f5f3bcee9adafd04527d4b;2024-03-31T00:00:00.000Z;67f56eca575fff8fe23c7a0d;15
35;67f5f3bcee9adafd04527d4c;2024-03-29T00:00:00.000Z;67f56eca575fff8fe23c7a57;10
36;67f5f3bcee9adafd04527d4d;2024-03-29T00:00:00.000Z;67f56eca575fff8fe23c7a2e;15
37;67f5f3bcee9adafd04527d4e;2024-03-30T00:00:00.000Z;67f56eca575fff8fe23c7a0f;15
38;67f5f3bcee9adafd04527d4f;2024-03-30T00:00:00.000Z;67f56eca575fff8fe23c7a55;15
39;67f5f3bcee9adafd04527d50;2024-03-30T00:00:00.000Z;67f56eca575fff8fe23c7a59;15
40;67f5f3bcee9adafd04527d51;2024-03-30T00:00:00.000Z;67f56eca575fff8fe23c7a15;10
41;67f5f3bcee9adafd04527d52;2024-03-30T00:00:00.000Z;67f56eca575fff8fe23c7a32;15
42;67f5f3bcee9adafd04527d53;2024-03-30T00:00:00.000Z;67f56eca575fff8fe23c7a50;10
43;67f5f3bcee9adafd04527d54;2024-04-01T00:00:00.000Z;67f56eca575fff8fe23c7a67;15
44;67f5f3bcee9adafd04527d55;2024-04-05T00:00:00.000Z;67f56eca575fff8fe23c7a20;15
45;67f5f3bcee9adafd04527d56;2024-04-05T00:00:00.000Z;67f56eca575fff8fe23c7a0f;15
46;67f5f3bcee9adafd04527d57;2024-04-05T00:00:00.000Z;67f56eca575fff8fe23c7a2d;10
47;67f5f3bcee9adafd04527d58;2024-04-05T00:00:00.000Z;67f56eca575fff8fe23c7a2a;10
48;67f5f3bcee9adafd04527d59;2024-04-05T00:00:00.000Z;67f56eca575fff8fe23c7a57;10
49;67f5f3bcee9adafd04527d5a;2024-04-06T00:00:00.000Z;67f56eca575fff8fe23c7a59;15
50;67f5f3bcee9adafd04527d5b;2024-04-06T00:00:00.000Z;67f56eca575fff8fe23c7a2f;15
51;67f5f3bcee9adafd04527d5c;2024-04-06T00:00:00.000Z;67f56eca575fff8fe23c7a50;10
52;67f5f3bcee9adafd04527d5d;2024-04-08T00:00:00.000Z;67f56eca575fff8fe23c7a32;15
53;67f5f3bcee9adafd04527d5e;2024-04-08T00:00:00.000Z;67f56eca575fff8fe23c7a15;15
54;67f5f3bcee9adafd04527d5f;2024-04-09T00:00:00.000Z;67f56eca575fff8fe23c7a59;15
55;67f5f3bcee9adafd04527d60;2024-04-09T00:00:00.000Z;67f56eca575fff8fe23c7a5f;15
56;67f5f3bcee9adafd04527d61;2024-04-10T00:00:00.000Z;67f56eca575fff8fe23c7a15;15
57;67f5f3bcee9adafd04527d62;2024-04-10T00:00:00.000Z;67f56eca575fff8fe23c7a2f;15
58;67f5f3bcee9adafd04527d63;2024-04-11T00:00:00.000Z;67f56eca575fff8fe23c7a59;10
59;67f5f3bcee9adafd04527d64;2024-04-12T00:00:00.000Z;67f56eca575fff8fe23c7a59;10
60;67f5f3bcee9adafd04527d65;2024-04-13T00:00:00.000Z;67f56eca575fff8fe23c7a61;15
61;67f5f3bcee9adafd04527d66;2024-04-18T00:00:00.000Z;67f56eca575fff8fe23c7a64;15
62;67f5f3bcee9adafd04527d67;2024-04-12T00:00:00.000Z;67f56eca575fff8fe23c7a60;15
